island,gen,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
2,12,missing,2,0,2,0,0,0,0,2,,,,,,0,2,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,1,all,200,157,28,15,157,144,13,43,0.2696573248407643,0.3343,0.6979,58.95655518182562,65.01672765859115,90,196,12,50.95884950738832,56.805892219788525,77.67241321957417,37,0.185,24,6,46.16022610272594,50.63437723980411,75.13393057565933,30,0.15,21,4
both,1,partial,144,144,0,0,144,144,0,0,0.25349375,0.31115,0.6581,57.97801333460362,63.56969536308458,81,144,0,49.82085375095271,53.7252692651486,77.67241321957417,31,0.2152777777777778,20,0,44.92655800076217,49.33519169817131,75.13393057565933,26,0.18055555555555555,18,0
both,1,full,13,13,0,0,13,0,13,0,0.4487,0.4143,0.6979,69.79578795105397,71.26463792269367,9,9,12,63.564340963290476,62.923401346170266,72.40459978158677,6,0.46153846153846156,4,6,59.82547277063238,59.206782753616196,71.8816798252694,4,0.3076923076923077,3,4
both,1,missing,43,0,28,15,0,0,0,43,,,,,,0,43,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,2,all,199,162,23,14,162,162,0,37,0.2747302469135802,0.29685,0.7576,55.2288015190845,64.47877333178269,83,193,0,48.28985731215288,54.59784615135308,78.97129852615053,42,0.21105527638190955,22,0,44.12649078799391,48.41499720577928,76.06303882092043,36,0.18090452261306533,21,0
both,2,partial,162,162,0,0,162,162,0,0,0.2747302469135802,0.29685,0.7576,55.2288015190845,64.47877333178269,83,157,0,48.28985731215288,54.59784615135308,78.97129852615053,42,0.25925925925925924,22,0,44.12649078799391,48.41499720577928,76.06303882092043,36,0.2222222222222222,21,0
both,2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
both,2,missing,37,0,23,14,0,0,0,37,,,,,,0,36,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,3,all,196,171,17,8,171,171,0,25,0.25213801169590644,0.284,0.7026,53.656747371117575,64.31239894018672,90,190,0,46.546010820735845,56.92218257215073,73.2769650918325,41,0.20918367346938777,24,0,42.2795688905068,50.847733315206334,70.80741993141508,35,0.17857142857142858,21,0
both,3,partial,171,171,0,0,171,171,0,0,0.25213801169590644,0.284,0.7026,53.656747371117575,64.31239894018672,90,165,0,46.546010820735845,56.92218257215073,73.2769650918325,41,0.23976608187134502,24,0,42.2795688905068,50.847733315206334,70.80741993141508,35,0.2046783625730994,21,0
both,3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
both,3,missing,25,0,17,8,0,0,0,25,,,,,,0,25,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,4,all,195,164,18,13,164,164,0,31,0.25579999999999997,0.2804,0.6314,52.767903439489146,61.98764213779124,83,192,0,45.970927579616855,52.721348888457015,80.95316577068337,38,0.19487179487179487,23,0,41.89274206369348,46.70352883767069,77.3525326165467,33,0.16923076923076924,22,0
both,4,partial,164,164,0,0,164,164,0,0,0.25579999999999997,0.2804,0.6314,52.767903439489146,61.98764213779124,83,161,0,45.970927579616855,52.721348888457015,80.95316577068337,38,0.23170731707317074,23,0,41.89274206369348,46.70352883767069,77.3525326165467,33,0.20121951219512196,22,0
both,4,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
both,4,missing,31,0,18,13,0,0,0,31,,,,,,0,31,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,5,all,193,158,22,13,158,158,0,35,0.2551632911392405,0.29215,0.7412,55.04256911802793,64.30169733383622,83,187,0,47.66100911700196,55.004416489172904,74.05546397120979,36,0.18652849740932642,22,0,43.232073116386374,49.613605912461296,71.18878304069113,30,0.15544041450777202,19,0
both,5,partial,158,158,0,0,158,158,0,0,0.2551632911392405,0.29215,0.7412,55.04256911802793,64.30169733383622,83,152,0,47.66100911700196,55.004416489172904,74.05546397120979,36,0.22784810126582278,22,0,43.232073116386374,49.613605912461296,71.18878304069113,30,0.189873417721519,19,0
both,5,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
both,5,missing,35,0,22,13,0,0,0,35,,,,,,0,35,0,,,,0,0.0,0,0,,,,0,0.0,0,0
both,6,all,198,158,26,14,158,158,0,40,0.26413037974683545,0.28815,0.6485,56.251637690334015,64.6345353903161,81,192,0,48.791987761421396,57.15426621808533,75.76950495905004,46,0.23232323232323232,27,0,44.31619780407382,51.25746058349342,72.34143447591931,41,0.20707070707070707,25,0
